Date,No_of_Accidents,,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
23-12-2022,10067,,,,,,,
22-12-2022,9552,,,,,,,
15-12-2022,9256,,,,,,,
25-01-2023,9250,,,,,,,
11-02-2021,9087,,,,,,,
29-04-2022,9039,,,,,,,
27-01-2023,9031,,,,,,,
04-05-2022,8704,,,,,,,
22-04-2022,8533,,,,,,,
25-02-2022,8523,,,,,,,
01-04-2022,8515,,,,,,,
13-05-2022,8493,,,,,,,
12-02-2021,8432,,,,,,,
03-05-2022,8402,,,,,,,
16-12-2022,8374,,,,,,,
10-12-2021,8324,,,,,,,
11-03-2022,8127,,,,,,,
18-02-2021,8070,,,,,,,
08-04-2022,8069,,,,,,,
23-12-2020,8013,,,,,,,
13-04-2022,7975,,,,,,,
03-12-2021,7973,,,,,,,
04-02-2022,7929,,,,,,,
30-10-2020,7899,,,,,,,
12-11-2021,7895,,,,,,,
19-11-2021,7886,,,,,,,
19-01-2023,7866,,,,,,,
21-12-2022,7848,,,,,,,
19-04-2022,7830,,,,,,,
14-04-2022,7794,,,,,,,
23-12-2021,7790,,,,,,,
30-01-2023,7790,,,,,,,
24-12-2020,7763,,,,,,,
18-02-2022,7716,,,,,,,
02-05-2022,7713,,,,,,,
03-02-2022,7708,,,,,,,
11-02-2022,7690,,,,,,,
01-06-2022,7686,,,,,,,
24-01-2023,7673,,,,,,,
09-03-2022,7671,,,,,,,
10-03-2022,7634,,,,,,,
17-12-2021,7629,,,,,,,
20-05-2022,7588,,,,,,,
12-05-2022,7578,,,,,,,
15-12-2021,7567,,,,,,,
19-02-2021,7531,,,,,,,
12-04-2022,7529,,,,,,,
18-03-2022,7506,,,,,,,
17-12-2020,7497,,,,,,,
20-04-2022,7493,,,,,,,
15-04-2022,7484,,,,,,,
14-12-2021,7476,,,,,,,
16-12-2021,7475,,,,,,,
28-04-2022,7464,,,,,,,
21-04-2022,7430,,,,,,,
07-04-2022,7423,,,,,,,
04-01-2023,7410,,,,,,,
11-05-2022,7404,,,,,,,
20-01-2023,7389,,,,,,,
04-03-2022,7374,,,,,,,
14-10-2022,7364,,,,,,,
30-12-2020,7350,,,,,,,
25-11-2020,7329,,,,,,,
05-02-2021,7322,,,,,,,
23-02-2022,7310,,,,,,,
05-01-2023,7301,,,,,,,
29-01-2021,7301,,,,,,,
14-01-2022,7299,,,,,,,
18-04-2022,7263,,,,,,,
09-12-2022,7250,,,,,,,
09-12-2020,7230,,,,,,,
20-11-2020,7229,,,,,,,
13-11-2020,7228,,,,,,,
17-02-2022,7197,,,,,,,
03-01-2023,7156,,,,,,,
11-11-2020,7154,,,,,,,
11-12-2020,7154,,,,,,,
17-05-2022,7134,,,,,,,
12-11-2020,7112,,,,,,,
10-12-2020,7097,,,,,,,
08-12-2021,7093,,,,,,,
27-04-2022,7091,,,,,,,
30-12-2021,7076,,,,,,,
27-05-2022,7073,,,,,,,
31-12-2020,7067,,,,,,,
23-01-2023,7059,,,,,,,
01-12-2020,7048,,,,,,,
11-11-2022,7047,,,,,,,
25-04-2022,7024,,,,,,,
16-02-2021,7002,,,,,,,
22-12-2020,7000,,,,,,,
18-12-2020,6999,,,,,,,
02-02-2022,6990,,,,,,,
05-11-2021,6989,,,,,,,
20-12-2022,6979,,,,,,,
16-12-2020,6972,,,,,,,
07-12-2021,6968,,,,,,,
18-01-2023,6932,,,,,,,
09-12-2021,6915,,,,,,,
04-11-2022,6880,,,,,,,
26-01-2021,6875,,,,,,,
18-11-2021,6850,,,,,,,
24-02-2022,6841,,,,,,,
26-04-2022,6827,,,,,,,
29-10-2020,6823,,,,,,,
06-04-2022,6822,,,,,,,
17-03-2022,6813,,,,,,,
06-12-2021,6809,,,,,,,
10-02-2022,6789,,,,,,,
18-11-2022,6778,,,,,,,
15-10-2021,6773,,,,,,,
22-01-2021,6765,,,,,,,
11-04-2022,6757,,,,,,,
24-09-2021,6756,,,,,,,
13-01-2023,6751,,,,,,,
17-01-2023,6751,,,,,,,
13-10-2022,6744,,,,,,,
16-05-2022,6743,,,,,,,
05-04-2022,6740,,,,,,,
10-11-2020,6730,,,,,,,
31-05-2022,6727,,,,,,,
17-11-2022,6724,,,,,,,
28-12-2020,6715,,,,,,,
04-02-2021,6710,,,,,,,
18-05-2022,6695,,,,,,,
08-11-2022,6692,,,,,,,
30-11-2020,6688,,,,,,,
25-05-2022,6684,,,,,,,
22-10-2021,6682,,,,,,,
18-11-2020,6679,,,,,,,
01-02-2022,6673,,,,,,,
24-11-2020,6662,,,,,,,
19-05-2022,6654,,,,,,,
28-01-2022,6650,,,,,,,
14-12-2022,6646,,,,,,,
04-04-2022,6644,,,,,,,
22-02-2021,6621,,,,,,,
22-02-2022,6592,,,,,,,
15-03-2022,6585,,,,,,,
10-11-2022,6582,,,,,,,
23-11-2020,6568,,,,,,,
14-02-2022,6555,,,,,,,
30-12-2022,6555,,,,,,,
17-11-2021,6547,,,,,,,
26-08-2022,6531,,,,,,,
17-02-2021,6522,,,,,,,
06-11-2020,6522,,,,,,,
15-01-2021,6486,,,,,,,
16-11-2021,6484,,,,,,,
15-11-2021,6483,,,,,,,
08-12-2020,6474,,,,,,,
02-09-2022,6439,,,,,,,
06-09-2022,6434,,,,,,,
23-03-2022,6424,,,,,,,
25-01-2021,6420,,,,,,,
03-11-2021,6409,,,,,,,
15-11-2022,6400,,,,,,,
13-12-2022,6392,,,,,,,
26-05-2022,6392,,,,,,,
09-02-2022,6376,,,,,,,
19-11-2020,6366,,,,,,,
