Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
23-12-2022,10067,Amavasya,Jyesta,Chatushpada,Ganda,"24 10'32""",Vrushchika
22-12-2022,9552,Chaturdasi,Anuradha,Vishti,Soola,"24 10'32""",Vrushchika
15-12-2022,9256,Sapthami,Makha,Vishti,Vishkambha,"24 10'30""",Simha
25-01-2023,9250,Chavithi,Purva-Bhadra,Vanija,Parigha,"24 10'38""",Kumbha
11-02-2021,9087,Chaturdasi,Sravanam,Sakuna,Vyatipata,"24 8'54""",Makara
29-04-2022,9039,Chaturdasi,Revathi,Vishti,Vishkambha,"24 9'55""",Meena
27-01-2023,9031,Shasti,Revathi,Taitula,Siddha,"24 10'38""",Meena
04-05-2022,8704,Thadiya,Rohini,Garaja,Atiganda,"24 9'56""",Vrushabha
22-04-2022,8533,Shasti,Purva-Shada,Vanija,Siva,"24 9'54""",Dhanu
25-02-2022,8523,Navami,Jyesta,Taitula,Harshana,"24 9'48""",Vrushchika
01-04-2022,8515,Amavasya,Uttara-Bhadra,Nagava,Bramha,"24 9'52""",Meena
13-05-2022,8493,Dvadasi,Hasta,Bawa,Vajra,"24 9'57""",Kanya
12-02-2021,8432,Padyami,Dhanista,Kimstughana,Variyan,"24 8'54""",Makara
03-05-2022,8402,Vidhiya,Rohini,Kaulava,Sobhana,"24 9'56""",Vrushabha
16-12-2022,8374,Sapthami,Pubha,Bawa,Prithi,"24 10'31""",Simha
10-12-2021,8324,Sapthami,Satabhisham,Garaja,Harshana,"24 9'36""",Kumbha
11-03-2022,8127,Ashtami,Mrugasira,Bawa,Prithi,"24 9'50""",Vrushabha
18-02-2021,8070,Shasti,Bharani,Taitula,Sukla,"24 8'55""",Mesha
08-04-2022,8069,Sapthami,Aarudra,Garaja,Sobhana,"24 9'53""",Mithuna
23-12-2020,8013,Navami,Uttara-Bhadra,Balava,Variyan,"24 8'46""",Meena
13-04-2022,7975,Ekadasi,Makha,Vishti,Ganda,"24 9'53""",Simha
03-12-2021,7973,Chaturdasi,Visakha,Vishti,Atiganda,"24 9'34""",Tula
04-02-2022,7929,Thadiya,Purva-Bhadra,Garaja,Siva,"24 9'46""",Kumbha
30-10-2020,7899,Chaturdasi,Revathi,Garaja,Harshana,"24 8'37""",Meena
12-11-2021,7895,Ashtami,Dhanista,Bawa,Vridhi,"24 9'31""",Makara
19-11-2021,7886,Punnami,Bharani,Vishti,Variyan,"24 9'32""",Mesha
19-01-2023,7866,Dvadasi,Jyesta,Kaulava,Vridhi,"24 10'37""",Vrushchika
21-12-2022,7848,Trayodasi,Visakha,Garaja,Dhrithi,"24 10'32""",Tula
19-04-2022,7830,Thadiya,Visakha,Vanija,Vyatipata,"24 9'54""",Vrushchika
14-04-2022,7794,Dvadasi,Pubha,Balava,Vridhi,"24 9'54""",Simha
23-12-2021,7790,Chaviti,Aslesha,Bawa,Vaidhruthi,"24 9'38""",Karkataka
30-01-2023,7790,Navami,Kruthika,Kaulava,Sukla,"24 10'39""",Mesha
24-12-2020,7763,Dasami,Revathi,Taitula,Parigha,"24 8'46""",Meena
18-02-2022,7716,Vidhiya,Pubha,Taitula,Sukarman,"24 9'47""",Simha
02-05-2022,7713,Padyami,Kruthika,Bawa,Saubhagya,"24 9'56""",Mesha
03-02-2022,7708,Vidhiya,Satabhisham,Kaulava,Parigha,"24 9'45""",Kumbha
11-02-2022,7690,Dasami,Rohini,Garaja,Vaidhruthi,"24 9'47""",Vrushabha
01-06-2022,7686,Vidhiya,Mrugasira,Balava,Soola,"24 10'1""",Mithuna
24-01-2023,7673,Thadiya,Satabhisham,Taitula,Vyatipata,"24 10'38""",Kumbha
09-03-2022,7671,Sapthami,Kruthika,Garaja,Vishkambha,"24 9'50""",Vrushabha
10-03-2022,7634,Sapthami,Rohini,Vanija,Vishkambha,"24 9'50""",Vrushabha
17-12-2021,7629,Trayodasi,Kruthika,Taitula,Siddha,"24 9'37""",Vrushabha
20-05-2022,7588,Panchami,Purva-Shada,Kaulava,Subha,"24 9'59""",Dhanu
12-05-2022,7578,Ekadasi,Uttara,Vanija,Harshana,"24 9'57""",Simha
15-12-2021,7567,Dvadasi,Ashwini,Bawa,Parigha,"24 9'37""",Mesha
19-02-2021,7531,Sapthami,Bharani,Vanija,Bramha,"24 8'55""",Mesha
12-04-2022,7529,Dasami,Aslesha,Garaja,Soola,"24 9'53""",Karkataka
18-03-2022,7506,Punnami,Uttara,Vishti,Soola,"24 9'51""",Simha
17-12-2020,7497,Thadiya,Uttara-Shaada,Taitula,Dhruva,"24 8'45""",Dhanu
20-04-2022,7493,Chaviti,Anuradha,Bawa,Variyan,"24 9'54""",Vrushchika
15-04-2022,7484,Trayodasi,Uttara,Taitula,Dhruva,"24 9'54""",Kanya
14-12-2021,7476,Ekadasi,Revathi,Vanija,Variyan,"24 9'36""",Meena
16-12-2021,7475,Dvadasi,Bharani,Balava,Siva,"24 9'37""",Mesha
28-04-2022,7464,Trayodasi,Uttara-Bhadra,Garaja,Vaidhruthi,"24 9'55""",Meena
21-04-2022,7430,Panchami,Mula,Taitula,Parigha,"24 9'54""",Dhanu
07-04-2022,7423,Shasti,Mrugasira,Kaulava,Saubhagya,"24 9'53""",Vrushabha
